borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
3,Borough Park,1436 50TH STREET,3,0,3,2805,5008,1965,2600000,7/3/2017 0:00
4,Astoria,27-04 ASTORIA BOULEVARD,5,0,5,2741,3050,1973,2600000,11/3/2016 0:00
3,Bay Ridge,6929 5 AVENUE,2,2,4,2580,4500,1931,2600000,10/20/2016 0:00
3,Greenpoint,190 HURON STREET,6,0,6,2500,3750,1931,2600000,9/28/2016 0:00
3,Williamsburg-East,165 GRAHAM AVENUE,6,1,7,2500,5000,1920,2600000,7/28/2017 0:00
3,Greenpoint,3 SUTTON STREET,6,0,6,2204,6138,2001,2600000,2/21/2017 0:00
3,Bensonhurst,2053 86TH   STREET,2,1,3,2000,4000,1921,2600000,1/12/2017 0:00
3,Park Slope,113 ST. JOHN,3,0,3,2000,4160,1899,2600000,7/11/2017 0:00
3,Bensonhurst,2051 86TH   STREET,2,1,3,2000,5200,1931,2600000,1/12/2017 0:00
2,Mott Haven,55 BRUCKNER BOULEVARD,4,1,5,2000,5900,2013,2600000,2/28/2017 0:00
3,Bay Ridge,7201 3RD AVENUE,7,1,8,2000,7200,1931,2600000,9/15/2016 0:00
1,Harlem,387 MANHATTAN AVENUE,4,0,4,900,2880,1901,2100000,11/28/2016 0:00
3,Sunset Park,666 5 AVENUE,0,4,4,1608,3800,1931,2600000,2/3/2017 0:00
3,Clinton Hill,186 WASHINGTON AVENUE,3,0,3,1600,5760,1899,2600000,6/30/2017 0:00
1,Harlem,2108 FIFTH AVENUE,4,0,4,1271,5167,1910,2125000,5/15/2017 0:00
3,Boerum Hill,478 STATE STREET,1,0,1,1515,1728,1915,2600000,10/27/2016 0:00
4,Flushing-North,36-28A UNION STREET,0,5,5,1378,3446,1984,2600000,3/13/2017 0:00
4,College Point,26-35 123RD   STREET,0,1,1,20000,8080,1955,2607500,10/17/2016 0:00
4,Ozone Park,94-03 101ST   AVENUE,9,1,10,5000,7500,1931,2607500,5/9/2017 0:00
2,Morrisania,1004 TINTON AVENUE,0,0,0,1875,0,0,2610400,6/30/2017 0:00
4,Ridgewood,59-23 WOODBINE STREET,6,0,6,2658,4772,1930,2613000,6/28/2017 0:00
3,Flatbush-North,657 UTICA AVENUE,0,1,1,4000,3180,1931,2615000,1/17/2017 0:00
3,Gowanus,214 7TH ST,2,0,2,1875,2050,1901,2615000,6/5/2017 0:00
3,Park Slope,158 BERKELEY PLACE,2,0,2,1833,3048,1901,2615000,6/6/2017 0:00
3,Fort Greene,36 ST FELIX STREET,5,0,5,2254,4600,2000,2615270,11/4/2016 0:00
4,Flushing-North,156-07 SANFORD AVENUE,7,0,7,4704,5151,2014,2627137,1/23/2017 0:00
2,Melrose,1190 CLAY AVE,11,0,11,3120,10980,1929,2627233,10/26/2016 0:00
