borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
4,Elmhurst,73-05 52 ROAD,1,0,1,2952,2228,1930,18000,4/25/2017 0:00
3,Bush Terminal,850 3 AVENUE,0,1,1,140231,1120000,1920,0,3/16/2017 0:00
2,Wakefield,4212 GUNTHER AVENUE,1,0,1,2379,1208,1920,18000,3/23/2017 0:00
2,Highbridge/Morris Heights,10 MAJ WM DEEGAN BLVD,0,1,1,137103,101235,1931,0,6/26/2017 0:00
2,Bathgate,507 EAST 183 STREET,2,0,2,1380,2805,1901,18000,6/7/2017 0:00
4,Laurelton,125-18 FRANCIS LEWIS BLVD,1,0,1,3744,1094,1945,18216,3/24/2017 0:00
1,Midtown West,102 WEST 57TH   STREET,0,2,2,7532,112850,2007,19000,5/19/2017 0:00
4,Ridgewood,58-40 78TH   AVENUE,2,0,2,3500,1871,1930,19000,2/1/2017 0:00
1,Midtown West,102 WEST 57TH STREET,0,2,2,7532,112850,2007,20000,8/16/2017 0:00
4,Bayside,210-10 56TH AVENUE,2,0,2,5258,1304,1950,20000,1/25/2017 0:00
2,Soundview,STORY AVENUE,0,0,0,115712,0,0,1,12/22/2016 0:00
3,Jamaica Bay,2859 FLATBUSH AVENUE,0,1,1,110303,0,2016,10,8/3/2017 0:00
4,Bayside,210-10 56TH AVENUE,2,0,2,5258,1304,1950,20000,1/25/2017 0:00
3,Williamsburg-East,134 MORGAN AVENUE,0,4,4,109400,100000,1962,0,3/2/2017 0:00
3,Fort Greene,401 ADELPHI STREET,4,0,4,4708,3237,1931,20000,3/16/2017 0:00
4,Glendale,90-60 UNION TURNPIKE,278,0,278,106575,295340,1965,0,8/16/2017 0:00
5,Stapleton-Clifton,190 VANDERBILT AVENUE,1,0,1,4230,1152,1940,20000,7/7/2017 0:00
3,Gowanus,433 HAMILTON AVENUE,0,1,1,103383,65000,1926,0,3/16/2017 0:00
4,Cambria Heights,116-29 221ST STREET,2,0,2,4000,1848,1930,20000,4/10/2017 0:00
4,Howard Beach,157-24 81 ST,1,0,1,3984,960,1950,20000,2/19/2017 0:00
3,Cypress Hills,103 BARBEY STREET,2,0,2,3325,2160,1931,20000,4/28/2017 0:00
2,Morrisania/Longwood,439 EAST 162 STREET,0,0,0,99457,0,0,3,12/28/2016 0:00
2,Westchester,1231 SEABURY AVENUE,0,1,1,98712,70000,1990,1,4/3/2017 0:00
3,Red Hook,300 COFFEY STREET,0,1,1,97956,27000,1995,0,5/1/2017 0:00
3,Downtown-Metrotech,4 METROTECH CENTER,0,17,17,95750,1330743,1990,0,3/15/2017 0:00
4,Richmond Hill,107-56 131ST STREET,2,0,2,3180,1296,1925,20000,5/2/2017 0:00
2,Soundview,433 BEACH AVENUE,1,0,1,2500,2728,1935,20000,5/28/2017 0:00
3,Bushwick,317 CENTRAL AVENUE,1,1,2,2500,3625,1931,20000,8/9/2017 0:00
3,Greenpoint,306 NORTH HENRY,0,2,2,95000,89300,1930,0,5/22/2017 0:00
4,Hollis,184-60 JAMAICA AVENUE,0,14,14,95000,287240,1910,0,7/21/2017 0:00
1,Tribeca,200 LIBERTY STREET,0,1,1,94530,1501878,1986,0,12/31/2016 0:00
4,Hollis,102-02 186TH   STREET,72,0,72,93000,52000,1950,0,10/7/2016 0:00
2,Morris Park/Van Nest,1721 BARNES AVENUE,0,0,0,2375,432,1934,20000,7/27/2017 0:00
3,Canarsie,1333 EAST 80TH   STREET,2,0,2,2240,2560,1960,20000,9/16/2016 0:00
5,New Dorp-Heights,2585 AMBOY ROAD,1,0,1,2112,1800,1986,20000,4/10/2017 0:00
4,South Jamaica,109-10 180TH STREET,0,1,1,91890,53000,1956,0,3/2/2017 0:00
3,East New York,447 GRANT AVE,2,0,2,2002,2200,1910,20000,4/20/2017 0:00
3,Gowanus,1 12TH   ST EXTENSION,0,6,6,86250,108625,1968,0,10/6/2016 0:00
4,Long Island City,42-52 NORTHERN BOULEVARD,0,1,1,85800,55176,1982,0,3/13/2017 0:00
3,East New York,352 MONTAUK AVENUE,2,0,2,2000,1920,2003,20000,11/11/2016 0:00
4,Jackson Heights,21-58 74TH STREET,3,0,3,2000,2508,1970,20000,11/21/2016 0:00
3,Flatbush-North,843 MIDWOOD STREET,2,0,2,1992,1705,1945,20000,9/9/2016 0:00
3,Spring Creek,911 ERSKINE STREET,0,0,0,83754,0,0,0,10/17/2016 0:00
3,Spring Creek,911 ERSKINE STREET,0,0,0,83754,0,0,0,10/17/2016 0:00
3,East New York,443 MILLER AVENUE,2,0,2,1900,1960,1930,20000,12/6/2016 0:00
5,Huguenot,849 SHELDON AVENUE,1,0,1,1860,1480,1985,20000,9/22/2016 0:00
1,Harlem-Central,132 WEST 130 STREET,11,0,11,1749,2625,1910,20000,9/17/2016 0:00
2,Williamsbridge,3648 WHITE PLAINS ROAD,1,1,2,1656,1880,1925,20000,10/7/2016 0:00
4,Hollis,102-01 186TH   STREET,56,0,56,81000,39000,1951,0,10/7/2016 0:00
1,Midtown West,102 WEST 57TH   STREET,0,2,2,7532,112850,2007,20600,9/6/2016 0:00
5,Todt Hill,MILFORD DRIVE,0,1,1,78672,126468,1965,1,12/9/2016 0:00
1,Midtown West,102 WEST 57TH   STREET,0,2,2,7532,112850,2007,20682,2/16/2017 0:00
3,Flatbush-Lefferts Garden,204 MAPLE STREET,1,0,1,2000,1800,1905,21644,12/28/2016 0:00
3,Bushwick,1216 HALSEY STREET,3,0,3,2200,2565,1920,21875,11/29/2016 0:00
3,Flatbush-East,288 LINDEN BOULEVARD,2,0,2,3150,2008,1910,22000,9/13/2016 0:00
2,Highbridge/Morris Heights,1571 UNDERCLIFF AVENUE,114,0,114,76176,132600,1932,0,2/28/2017 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,22460,9/7/2016 0:00
4,Rego Park,61-25 97TH   STREET,446,0,446,76000,395000,1960,0,9/8/2016 0:00
5,Manor Heights,439 GOWER STREET,2,0,2,4700,1988,1970,22797,2/13/2017 0:00
4,Astoria,31-14 46TH STREET,3,0,3,3075,2476,1920,23000,5/11/2017 0:00
4,Ozone Park,97-29 101ST   STREET,2,0,2,2521,1700,1925,23000,7/28/2017 0:00
3,Sheepshead Bay,1501 VOORHIES AVENUE,180,0,180,74000,0,2016,0,5/16/2017 0:00
3,Sheepshead Bay,1501 VOORHIES AVENUE,56,0,56,74000,0,2016,0,5/16/2017 0:00
4,Cambria Heights,116-29 221ST   STREET,2,0,2,4000,1848,1930,23500,4/8/2017 0:00
3,Bedford Stuyvesant,569 MADISON STREET,3,0,3,2000,3600,1901,23769,7/12/2017 0:00
3,Park Slope,120 5TH AVENUE,0,1,1,70008,49148,1983,0,3/24/2017 0:00
1,Soho,375 HUDSON STREET,0,6,6,69096,907938,1987,10,8/14/2017 0:00
2,Morrisania/Longwood,N/A EAST 162 STREET,0,0,0,68650,0,0,0,12/28/2016 0:00
4,South Ozone Park,149-30 LEFFERTS BOULEVARD,2,0,2,4000,1523,1950,24000,3/23/2017 0:00
4,Arverne,324 BEACH 68TH STREET,2,0,2,4000,2400,2003,24000,4/17/2017 0:00
4,Hollis,88-34 180TH STREET,1,0,1,3090,1200,1925,24000,8/8/2017 0:00
2,Mott Haven/Port Morris,575 EAST 140TH STREET,127,0,127,67830,119160,1985,0,4/7/2017 0:00
2,Morrisania/Longwood,581 AUSTIN PLACE,0,2,2,67388,49629,1931,0,6/1/2017 0:00
4,South Ozone Park,111-40 130TH STREET,1,0,1,2520,1552,1920,24000,3/3/2017 0:00
5,West New Brighton,1641 RICHMOND TERRACE,0,1,1,66547,1500,2009,0,6/16/2017 0:00
5,West New Brighton,1641 RICHMOND TERRACE,0,1,1,66547,1500,2009,0,3/23/2017 0:00
3,Flatlands,1070 EAST 59TH STREET,2,0,2,2400,2240,1965,24000,12/6/2016 0:00
4,Ozone Park,85-13 SUTTER AVENUE,2,0,2,2000,1346,1930,24000,3/3/2017 0:00
4,Ozone Park,84-01 107TH AVENUE,1,0,1,1950,1407,1925,24000,3/9/2017 0:00
3,East New York,384 CHESTNUT COURT,2,0,2,1840,1800,1920,24000,5/1/2017 0:00
4,Flushing-North,136-32 ROOSEVELT AVENUE,0,1,1,63700,222988,1951,0,10/25/2016 0:00
4,Ozone Park,85-12 SUTTER AVENUE,1,0,1,1829,936,1901,24000,3/3/2017 0:00
3,Gravesend,2214 STILLWELL AVENUE,0,1,1,61399,24000,1960,0,4/11/2017 0:00
3,East New York,385 VAN SICLEN AVENUE,1,0,1,1800,1132,1990,24000,11/4/2016 0:00
4,South Ozone Park,116-30 126TH STREET,1,0,1,1600,1040,1930,24000,2/2/2017 0:00
3,Williamsburg-North,20 NORTH 12 STREET,0,0,0,60400,0,0,0,4/19/2017 0:00
4,Maspeth,55-70 48TH STREET,0,1,1,60328,9625,1966,0,12/29/2016 0:00
3,Bergen Beach,2350 EAST 69TH   STREET,0,0,0,60000,48000,1978,0,7/13/2017 0:00
5,West New Brighton,110 HENDERSON AVENUE,0,1,1,59810,73115,1974,0,9/15/2016 0:00
3,Williamsburg-North,2 NORTH 12 STREET,0,0,0,59600,0,0,0,4/19/2017 0:00
3,Williamsburg-North,2 NORTH 12 STREET,0,0,0,59600,0,0,0,4/19/2017 0:00
2,City Island,N/A DITMARS STREET,0,0,0,59321,0,0,0,7/24/2017 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,24600,9/7/2016 0:00
5,Rossville-Charleston,101 TYRELLAN AVENUE,0,9,9,58756,42000,1999,0,12/7/2016 0:00
5,Westerleigh,25 IOWA PLACE,1,0,1,5950,900,1955,25000,6/20/2017 0:00
2,Williamsbridge,1026 EAST 229 STREET,1,0,1,5471,2160,1940,25000,3/2/2017 0:00
4,Maspeth,67-18 52ND   AVENUE,2,0,2,5142,1380,1920,25000,9/15/2016 0:00
4,Maspeth,55-80 48TH STREET,0,1,1,58326,13310,1965,0,12/29/2016 0:00
3,Williamsburg-North,500 METROPOLITAN AVENUE,14,1,15,57936,158698,2015,0,11/23/2016 0:00
4,Ridgewood,10 WOODWARD AVENUE,0,2,2,57900,56773,2013,0,2/27/2017 0:00
2,City Island,271 MINNIEFORD AVENUE,0,0,0,4913,0,1950,25000,5/4/2017 0:00
5,Rossville-Charleston,4295 ARTHUR KILL ROAD,0,1,1,57100,12000,1990,0,5/16/2017 0:00
5,Stapleton,215 CANAL STREET,2,1,3,4500,3320,1931,25000,8/2/2017 0:00
4,Hollis,99-12 211 PLACE,1,0,1,4116,2010,1930,25000,10/12/2016 0:00
4,Laurelton,139-30 227TH   STREET,1,0,1,4000,1362,1940,25000,9/29/2016 0:00
2,City Island,192 SCHOFIELD STREET,0,0,0,55437,0,0,0,2/2/2017 0:00
4,Springfield Gardens,134-25 155TH   STREET,2,0,2,4000,2224,1950,25000,1/12/2017 0:00
4,Astoria,30-80 42ND STREET,2,0,2,3342,1545,1925,25000,1/19/2017 0:00
4,St. Albans,19062 112TH AVENUE,2,0,2,3325,1632,1930,25000,11/28/2016 0:00
4,Woodhaven,85-26 102ND   STREET,2,0,2,3060,2088,1910,25000,9/15/2016 0:00
2,Fordham,2501 GRAND CONCOURSE,0,11,11,52944,264720,1930,0,7/21/2017 0:00
2,Kingsbridge/Jerome Park,298 WEST 231ST STREET,0,1,1,52900,27300,1960,0,9/28/2016 0:00
2,Kingsbridge/Jerome Park,298 WEST 231ST STREET,0,1,1,52900,27300,1960,0,9/28/2016 0:00
3,Sunset Park,450 41ST   STREET,8,0,8,2671,7980,1907,25000,2/28/2017 0:00
4,Ridgewood,65-75 TRAFFIC AVENUE,0,1,1,52717,63520,1959,0,9/2/2016 0:00
4,Hollis,90-65 207TH   STREET,1,0,1,2600,1216,1925,25000,10/14/2016 0:00
2,Bedford Park/Norwood,RESERVOIR OVAL,0,0,0,2576,0,0,25000,6/2/2017 0:00
3,Gowanus,192 BUTLER STREET,0,0,0,2500,0,0,25000,2/28/2017 0:00
2,Pelham Parkway South,1579 RHINELANDER AVENUE,130,0,130,52200,140628,1961,0,9/21/2016 0:00
4,South Jamaica,177-40 105TH   AVENUE,2,0,2,2500,1600,1930,25000,9/15/2016 0:00
